CALLS,PUTS,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,125","1,568.00","1,907.45","1,725","20,800.00","1,87,050",0.30,0.40,"2,250",-18.75,0.40,38.53,"2,28,278","13,232","13,232",
,-,-,-,-,-,-,"1,125","1,508.80","1,861.20","1,725","20,850.00","6,600",0.35,0.40,"7,800",-20.30,0.40,37.49,"14,289",975,975,
,-,-,-,-,-,-,"1,125","1,517.10","1,801.80","1,125","20,900.00","37,800",0.30,0.90,"1,350",-22.00,0.30,35.50,"27,040","1,137","1,137",
,-,-,-,-,-,-,"1,125","1,423.35","1,753.60","1,725","20,950.00","23,475",0.40,0.95,"1,500",-23.65,0.40,35.42,"11,454",591,591,
,7,7,15,65.64,"1,591.85","-1,726.95","1,125","1,479.70","1,622.40","1,125","21,000.00","2,700",0.45,0.90,825,-25.05,0.90,34.77,"68,950","3,985","3,985",
,-,-,-,-,-,-,"1,125","1,472.20","1,572.70","1,125","21,050.00","12,750",0.35,0.45,75,-0.35,0.45,32.92,"2,23,870",122,"32,025",
,40,-30,52,64.94,"1,498.25",-21.10,600,"1,456.90","1,474.30",300,"21,100.00","71,175",0.55,0.60,"81,600",-0.45,0.60,34.18,"1,58,017","-13,686","65,344",
,2,-,-,-,"1,867.25",-,"1,125","1,126.05","1,543.85","1,125","21,150.00","1,125",0.60,1.25,"1,500",-0.55,0.60,32.56,"58,460","-5,576","6,287",
,12,-9,11,61.62,"1,398.80",-306.20,150,"1,363.05","1,375.45",150,"21,200.00",225,0.60,0.85,"2,925",-0.55,0.60,31.49,"87,865","-3,868","28,652",
,1,-,-,-,"1,350.00",-,"1,125","1,044.15","1,371.85","1,125","21,250.00","3,000",0.90,1.15,600,-0.15,1.15,32.83,"62,115",-872,"9,300",
,3,-,-,-,"1,324.55",-,"1,125","1,229.85","1,322.40","1,125","21,300.00",675,0.75,1.00,975,-0.30,1.00,31.02,"1,12,512","-3,386","31,365",
,5,-,-,-,"1,684.55",-,"1,125",967.30,"1,494.90","1,125","21,350.00",225,1.10,1.15,600,-0.25,1.10,30.23,"50,465",192,"4,646",
,6,-1,1,56.65,"1,205.00",-40.00,"1,125","1,120.00","1,175.15",150,"21,400.00","1,125",1.15,1.25,300,-0.30,1.15,29.24,"2,12,042","-2,921","52,766",
,8,-,-,-,"1,131.45",-,"1,125","1,066.85","1,164.40","1,125","21,450.00","1,725",1.00,1.65,150,-0.45,1.00,27.79,"56,886",4,"4,153",
,"3,525","-1,845","3,125",35.86,"1,067.40",-46.35,375,"1,067.50","1,073.05",75,"21,500.00","14,100",1.15,1.40,"53,325",-0.40,1.25,27.48,"3,54,510","-29,453","51,046",
,17,-1,6,50.54,"1,053.35",-431.75,"1,125",974.55,"1,026.55",75,"21,550.00","1,800",0.95,1.65,300,-0.75,0.95,24.89,"79,175","-1,016","4,728",
,44,-7,20,37.08,974.00,-62.90,300,964.45,"1,010.75","1,125","21,600.00","6,600",1.30,1.45,300,-0.35,1.45,25.02,"2,00,090","-5,127","22,306",
,2,-,-,-,"1,383.80",4.95,"1,125",867.40,961.30,"1,125","21,650.00",675,1.60,1.70,300,-0.35,1.60,24.50,"2,51,812","18,233","25,765",
,118,99,504,32.38,871.15,-72.90,"1,650",861.85,874.85,150,"21,700.00",675,1.70,1.95,225,-0.40,1.70,23.49,"3,85,794","11,195","60,269",
,2,-,-,-,"1,290.30",3.80,"1,125",767.85,861.35,"1,125","21,750.00",150,1.55,1.95,150,-0.25,1.95,22.70,"1,42,827","3,646","14,738",
,73,-5,72,41.56,805.00,-6.00,"1,350",762.45,772.50,150,"21,800.00","1,875",1.65,1.80,225,-0.70,1.70,21.15,"4,36,750","2,339","53,418",
,19,-2,17,39.98,756.35,-7.40,"1,125",609.25,724.20,150,"21,850.00",975,1.80,2.45,75,-0.95,1.80,20.08,"2,02,751","-1,148","13,892",
,39,4,63,32.70,688.10,-30.60,"1,500",659.90,671.95,150,"21,900.00",75,1.90,2.00,"1,350",-1.20,2.00,19.05,"4,32,762","1,534","42,586",
,11,-4,18,23.26,618.65,-49.95,375,615.45,624.30,600,"21,950.00",600,2.30,2.50,"1,275",-1.65,2.30,18.18,"2,62,626","3,222","16,774",
,"7,710","-1,528","11,008",20.40,566.30,-51.65,375,566.45,570.00,750,"22,000.00","1,050",2.75,2.95,"1,800",-2.00,2.95,17.58,"6,60,400","-7,206","1,10,608",
,83,-157,394,22.49,524.05,-45.15,150,517.45,521.70,150,"22,050.00",300,3.20,3.40,150,-2.65,3.40,16.64,"3,10,292","9,928","25,205",
,215,-244,"2,024",19.16,470.00,-48.40,225,468.30,472.15,375,"22,100.00",600,3.60,3.80,300,-3.85,3.55,15.38,"5,33,877","3,771","42,062",
,156,-27,748,17.93,421.00,-50.90,75,418.75,423.25,150,"22,150.00",600,4.20,4.55,750,-4.85,4.50,14.63,"4,20,109","3,857","18,797",
,745,-43,"10,821",16.18,372.00,-55.15,75,370.20,373.80,300,"22,200.00","1,125",5.35,5.70,900,-6.25,5.60,13.78,"7,48,202","1,997","43,457",
,863,-,"5,480",16.07,325.85,-52.25,450,320.60,325.85,75,"22,250.00",600,6.50,7.10,600,-8.80,6.50,12.66,"5,88,479",-75,"20,232",
,"2,871",617,"42,604",13.70,275.00,-60.00,525,273.00,277.75,150,"22,300.00",75,9.00,9.20,375,-10.75,9.00,11.79,"10,93,682","-29,388","78,255",
,"1,114",163,"23,395",12.89,228.35,-62.45,525,226.95,231.05,450,"22,350.00",75,12.75,13.10,750,-13.20,13.10,11.48,"6,09,873","-3,184","22,273",
,"8,490","2,335","1,99,932",11.84,183.00,-66.95,75,183.00,184.70,300,"22,400.00",825,17.40,17.70,"7,050",-16.95,17.70,10.65,"11,01,850","2,188","52,227",
,"4,768","1,351","1,97,223",10.95,143.20,-68.00,525,140.30,142.70,300,"22,450.00","10,800",25.15,25.20,750,-20.25,25.20,9.85,"8,18,860","2,832","27,781",
,"56,783","14,137","11,44,088",10.07,101.65,-72.00,450,99.60,101.50,225,"22,500.00",75,34.05,35.00,"12,750",-23.85,34.10,8.97,"21,05,476","8,690","1,37,339",
