Timestamp,Signal Type,Price,Additional Info
2025-03-28 12:45:38,HOLD,85767.61,VWAP not ready yet
2025-03-28 12:45:39,HOLD,85767.6,VWAP not ready yet
2025-03-28 12:46:01,VWAP Calculated,85755.81072076746,
2025-03-28 12:46:01,SELL,85742.92,Price: 85742.92 < VWAP: 85755.81072076746
2025-03-28 12:46:02,VWAP Calculated,85753.89963568159,
2025-03-28 12:46:02,SELL,85742.91,Price: 85742.91 < VWAP: 85753.89963568159
2025-03-28 12:46:03,VWAP Calculated,85751.98964952136,
2025-03-28 12:46:03,SELL,85742.91,Price: 85742.91 < VWAP: 85751.98964952136
2025-03-28 12:46:04,VWAP Calculated,85750.27971707023,
2025-03-28 12:46:04,SELL,85742.91,Price: 85742.91 < VWAP: 85750.27971707023
2025-03-28 12:46:05,VWAP Calculated,85748.2807853617,
2025-03-28 12:46:05,SELL,85738.11,Price: 85738.11 < VWAP: 85748.2807853617
2025-03-28 12:46:06,VWAP Calculated,85746.28286033742,
2025-03-28 12:46:06,SELL,85738.11,Price: 85738.11 < VWAP: 85746.28286033742
2025-03-28 12:46:07,VWAP Calculated,85744.28492626769,
2025-03-28 12:46:07,SELL,85738.11,Price: 85738.11 < VWAP: 85744.28492626769
2025-03-28 12:46:08,VWAP Calculated,85742.28599547592,
2025-03-28 12:46:08,SELL,85738.11,Price: 85738.11 < VWAP: 85742.28599547592
2025-03-28 12:46:09,VWAP Calculated,85740.28706692439,
2025-03-28 12:46:09,SELL,85738.11,Price: 85738.11 < VWAP: 85740.28706692439
2025-03-28 12:46:10,VWAP Calculated,85740.03107147972,
2025-03-28 12:46:10,SELL,85738.11,Price: 85738.11 < VWAP: 85740.03107147972
2025-03-28 12:46:11,VWAP Calculated,85739.55005276085,
2025-03-28 12:46:11,SELL,85738.11,Price: 85738.11 < VWAP: 85739.55005276085
2025-03-28 12:46:12,VWAP Calculated,85739.06901927383,
2025-03-28 12:46:12,SELL,85738.1,Price: 85738.1 < VWAP: 85739.06901927383
2025-03-28 12:46:13,VWAP Calculated,85738.5079960534,
2025-03-28 12:46:13,SELL,85737.3,Price: 85737.3 < VWAP: 85738.5079960534
2025-03-28 12:46:14,VWAP Calculated,85737.80099721135,
2025-03-28 12:46:14,SELL,85735.84,Price: 85735.84 < VWAP: 85737.80099721135
2025-03-28 12:46:15,VWAP Calculated,85737.57499590133,
2025-03-28 12:46:15,SELL,85735.85,Price: 85735.85 < VWAP: 85737.57499590133
2025-03-28 12:46:16,VWAP Calculated,85737.3229939991,
2025-03-28 12:46:16,SELL,85735.59,Price: 85735.59 < VWAP: 85737.3229939991
2025-03-28 12:46:17,VWAP Calculated,85737.33399680957,
2025-03-28 12:46:17,BUY,85738.22,Price: 85738.22 > VWAP: 85737.33399680957
2025-03-28 12:46:18,VWAP Calculated,85737.34499480744,
2025-03-28 12:46:18,BUY,85738.22,Price: 85738.22 > VWAP: 85737.34499480744
2025-03-28 12:46:19,VWAP Calculated,85737.3559933275,
2025-03-28 12:46:19,BUY,85738.22,Price: 85738.22 > VWAP: 85737.3559933275
2025-03-28 12:46:20,VWAP Calculated,85737.24199461348,
2025-03-28 12:46:20,SELL,85736.97,Price: 85736.97 < VWAP: 85737.24199461348
2025-03-28 12:46:21,VWAP Calculated,85736.86099938443,
2025-03-28 12:46:21,SELL,85734.3,Price: 85734.3 < VWAP: 85736.86099938443
2025-03-28 12:46:22,VWAP Calculated,85736.47999911795,
2025-03-28 12:46:22,SELL,85734.29,Price: 85734.29 < VWAP: 85736.47999911795
2025-03-28 12:46:23,VWAP Calculated,85736.1789988951,
2025-03-28 12:46:23,SELL,85734.29,Price: 85734.29 < VWAP: 85736.1789988951
